pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
1.43843,0.304636;10.0,2.38628,0.381132,0.1,0.1,0.1,0.1752,10.0,10.0,0.106969
1.44098,0.30313;10.0,2.38628,0.466361,0.1,0.1,0.131108,0.1752,10.0,10.0,0.1
1.44608,0.301898;10.0,2.2938,0.205448,0.1,0.1,10.0,0.1,0.1,7.11808,0.1
1.45073,0.302385;10.0,2.38628,0.330737,0.214847,0.1,0.1,0.1752,10.0,10.0,0.1
1.45952,0.303274;10.0,2.20903,0.223083,1.61278,0.115856,3.42194,0.732526,7.66486,10.0,0.165865
1.46149,0.303721;10.0,3.7953,0.1,10.0,0.1,10.0,4.27635,0.887356,10.0,1.01843
1.46838,0.300985;10.0,2.23422,0.223083,1.61278,0.1,3.42194,0.732526,7.66486,10.0,0.165865
1.47583,0.301797;10.0,2.15619,0.444238,2.77499,0.536116,0.1,0.1,10.0,10.0,0.196967
1.47497,0.304322;9.61559,2.15619,0.36412,1.53993,0.335513,0.167588,0.1,10.0,10.0,0.1
1.48165,0.302035;5.81133,1.74637,0.183569,0.1,0.1,10.0,2.0104,0.1,7.95467,0.433792
1.48414,0.303972;0.37219,0.1,0.1,0.216671,0.23733,2.61788,0.185098,0.1,10.0,0.259589
1.49115,0.302853;10.0,3.82748,0.1,1.51045,1.84452,10.0,0.230768,0.359414,4.83185,0.638314
1.49805,0.30311;10.0,2.15619,0.36412,2.77499,0.335513,0.167588,0.1,10.0,10.0,0.1
1.5034,0.299967;10.0,2.71872,0.1,0.232071,3.52879,10.0,0.1,5.67737,10.0,0.1
1.50826,0.301645;0.1,0.1,0.119412,0.885008,4.19503,10.0,0.774352,10.0,10.0,0.339073
1.51423,0.302874;1.72595,0.88918,0.160383,0.185165,0.246874,10.0,10.0,4.02571,10.0,2.14858
1.51608,0.300402;1.72595,0.88918,0.160383,0.1,0.246874,10.0,10.0,4.02571,10.0,2.14858
1.52114,0.301948;6.90677,1.74639,2.01113,5.89889,0.1,0.292385,0.344148,10.0,10.0,0.392368
1.52679,0.303316;6.90677,1.74639,2.01113,5.89889,0.1,0.1,0.1,10.0,10.0,0.392368
1.53075,0.301927;10.0,3.52753,10.0,0.831729,0.1,10.0,0.538651,10.0,10.0,0.22923
1.53724,0.300971;10.0,2.65786,0.1,0.1,0.1,10.0,0.1,2.66672,10.0,0.1
1.54219,0.299859;3.68104,0.99737,0.13482,0.560524,0.266994,7.68481,0.1,0.107322,10.0,0.141143
1.54947,0.301377;5.59501,10.0,2.41378,0.1,0.1,0.137625,7.34798,4.74976,0.323944,0.732792
1.54961,0.305133;10.0,3.52753,10.0,0.651009,0.1,10.0,0.1,10.0,10.0,0.1
1.55451,0.302926;10.0,3.52753,10.0,0.688784,0.159263,10.0,0.1,10.0,10.0,0.1
